par,senal,orden,entrada,stop,objetivo,riesgo_pips,rr,coste_pct
EURUSD,2026-01-15 00:00:00,VENTA,1.16449,1.16615,1.1612,16.6,1.98,8.6
GBPUSD,2026-01-15 00:00:00,VENTA,1.34397,1.34637,1.33806,24.0,2.46,6.7
USDJPY,2026-01-16 00:00:00,VENTA,158.589,158.878,157.832,28.9,2.62,5.2
USDJPY,2026-01-17 00:00:00,COMPRA,158.137,157.82,159.253,31.7,3.52,4.7
GBPUSD,2026-01-17 00:00:00,COMPRA,1.3376,1.3366,1.34396,10.0,6.36,16.0
EURUSD,2026-01-17 00:00:00,VENTA,1.1595,1.16273,1.15635,32.3,0.98,4.4
GBPUSD,2026-01-19 12:00:00,VENTA,1.34082,1.34152,1.33424,7.0,9.41,22.9
USDJPY,2026-01-19 12:00:00,COMPRA,158.04,157.42,158.706,62.0,1.07,2.4
EURUSD,2026-01-20 00:00:00,VENTA,1.16393,1.16487,1.1584,9.4,5.89,15.2
USDJPY,2026-01-20 12:00:00,VENTA,157.748,158.602,157.2,85.4,0.64,1.8
USDJPY,2026-01-21 00:00:00,COMPRA,158.152,157.465,159.721,68.7,2.28,2.2
EURUSD,2026-01-21 00:00:00,VENTA,1.1727,1.17688,1.15674,41.8,3.82,3.4
EURUSD,2026-01-21 12:00:00,COMPRA,1.17141,1.17012,1.18014,12.9,6.77,11.1
EURUSD,2026-01-22 00:00:00,VENTA,1.16728,1.1743,1.16233,70.2,0.71,2.0
GBPUSD,2026-01-22 00:00:00,VENTA,1.34178,1.3459,1.3335,41.2,2.01,3.9
USDJPY,2026-01-22 00:00:00,COMPRA,158.458,157.745,159.148,71.3,0.97,2.1
USDJPY,2026-01-23 12:00:00,VENTA,158.134,159.226,157.198,109.2,0.86,1.4
GBPUSD,2026-01-27 00:00:00,VENTA,1.36746,1.37131,1.36198,38.5,1.42,4.2
EURUSD,2026-01-27 00:00:00,VENTA,1.18738,1.19069,1.18138,33.1,1.81,4.3
USDJPY,2026-01-27 12:00:00,VENTA,153.727,154.877,152.509,115.0,1.06,1.3
GBPUSD,2026-01-29 00:00:00,COMPRA,1.38267,1.37496,1.39218,77.1,1.23,2.1
EURUSD,2026-01-29 00:00:00,COMPRA,1.19808,1.18957,1.20768,85.1,1.13,1.7
EURUSD,2026-01-29 12:00:00,VENTA,1.19468,1.19964,1.18153,49.6,2.65,2.9
GBPUSD,2026-01-29 12:00:00,VENTA,1.37941,1.38477,1.36736,53.6,2.25,3.0
EURUSD,2026-01-30 00:00:00,COMPRA,1.19674,1.19059,1.20552,61.5,1.43,2.3
USDJPY,2026-01-30 00:00:00,COMPRA,153.141,152.682,154.298,45.9,2.52,3.3
GBPUSD,2026-01-30 00:00:00,COMPRA,1.38078,1.3742,1.39084,65.8,1.53,2.4
EURUSD,2026-01-30 12:00:00,COMPRA,1.1949,1.18948,1.20519,54.2,1.9,2.6
GBPUSD,2026-01-30 12:00:00,COMPRA,1.37788,1.37252,1.39164,53.6,2.57,3.0
USDJPY,2026-02-02 12:00:00,VENTA,154.753,155.389,153.256,63.6,2.35,2.4
GBPUSD,2026-02-02 12:00:00,COMPRA,1.37,1.366,1.38629,40.0,4.07,4.0
EURUSD,2026-02-02 12:00:00,COMPRA,1.18646,1.18409,1.20218,23.7,6.63,6.0
GBPUSD,2026-02-03 00:00:00,COMPRA,1.36725,1.36228,1.3755,49.7,1.66,3.2
GBPUSD,2026-02-04 00:00:00,VENTA,1.36968,1.37071,1.36128,10.3,8.16,15.5
USDJPY,2026-02-04 00:00:00,VENTA,155.804,156.083,154.778,27.9,3.68,5.4
EURUSD,2026-02-04 00:00:00,VENTA,1.18155,1.18288,1.17528,13.3,4.71,10.8
EURUSD,2026-02-04 12:00:00,VENTA,1.18103,1.18379,1.17371,27.6,2.65,5.2
EURUSD,2026-02-05 12:00:00,COMPRA,1.17935,1.17802,1.18482,13.3,4.12,10.8
USDJPY,2026-02-06 00:00:00,COMPRA,156.805,156.528,157.78,27.7,3.52,5.4
EURUSD,2026-02-06 00:00:00,VENTA,1.17764,1.18218,1.17335,45.4,0.94,3.1
GBPUSD,2026-02-06 12:00:00,COMPRA,1.35839,1.35083,1.37255,75.6,1.87,2.1
USDJPY,2026-02-06 12:00:00,COMPRA,157.043,156.51,158.18,53.3,2.13,2.8
EURUSD,2026-02-06 12:00:00,COMPRA,1.179,1.17654,1.18604,24.6,2.86,5.8
USDJPY,2026-02-09 12:00:00,VENTA,156.466,157.292,155.733,82.6,0.89,1.8
GBPUSD,2026-02-11 00:00:00,VENTA,1.36324,1.36964,1.35754,64.0,0.89,2.5
EURUSD,2026-02-11 00:00:00,VENTA,1.18876,1.19285,1.18527,40.9,0.85,3.5
EURUSD,2026-02-11 12:00:00,COMPRA,1.19081,1.18862,1.19709,21.9,2.87,6.5
GBPUSD,2026-02-11 12:00:00,VENTA,1.36908,1.37121,1.35932,21.3,4.58,7.5
USDJPY,2026-02-12 00:00:00,VENTA,153.266,154.651,150.689,138.5,1.86,1.1
USDJPY,2026-02-12 12:00:00,COMPRA,153.31,152.268,156.459,104.2,3.02,1.4
GBPUSD,2026-02-12 12:00:00,COMPRA,1.36492,1.36043,1.37737,44.9,2.77,3.6
USDJPY,2026-02-13 00:00:00,VENTA,152.791,153.758,150.87,96.7,1.99,1.6
EURUSD,2026-02-13 00:00:00,VENTA,1.18691,1.18899,1.18157,20.8,2.57,6.9
GBPUSD,2026-02-13 00:00:00,VENTA,1.36181,1.36712,1.3544,53.1,1.4,3.0
EURUSD,2026-02-13 12:00:00,COMPRA,1.18585,1.18469,1.19092,11.6,4.37,12.3
EURUSD,2026-02-14 00:00:00,VENTA,1.18655,1.18846,1.18258,19.1,2.08,7.5
GBPUSD,2026-02-16 12:00:00,VENTA,1.36442,1.36618,1.35538,17.6,5.14,9.1
USDJPY,2026-02-16 12:00:00,VENTA,153.371,153.635,152.168,26.4,4.56,5.7
USDJPY,2026-02-17 00:00:00,VENTA,153.556,153.757,152.254,20.1,6.48,7.5
GBPUSD,2026-02-18 00:00:00,COMPRA,1.35624,1.34956,1.36776,66.8,1.72,2.4
USDJPY,2026-02-18 00:00:00,VENTA,153.13,153.923,151.798,79.3,1.68,1.9
EURUSD,2026-02-18 00:00:00,VENTA,1.18507,1.18573,1.18088,6.6,6.34,21.7
USDJPY,2026-02-19 12:00:00,VENTA,154.626,155.341,152.65,71.5,2.76,2.1
USDJPY,2026-02-20 00:00:00,COMPRA,155.195,154.542,156.347,65.3,1.76,2.3
GBPUSD,2026-02-20 12:00:00,VENTA,1.34701,1.34826,1.34098,12.5,4.82,12.8
USDJPY,2026-02-20 12:00:00,VENTA,155.223,155.643,154.112,42.0,2.65,3.6
GBPUSD,2026-02-21 00:00:00,VENTA,1.34723,1.35147,1.34006,42.4,1.69,3.8
USDJPY,2026-02-21 00:00:00,COMPRA,154.988,154.712,156.104,27.6,4.04,5.4
GBPUSD,2026-02-23 12:00:00,VENTA,1.34906,1.35347,1.34093,44.1,1.84,3.6
EURUSD,2026-02-23 12:00:00,VENTA,1.17859,1.18344,1.17075,48.5,1.62,2.9
USDJPY,2026-02-23 12:00:00,COMPRA,154.923,153.996,156.16,92.7,1.33,1.6
GBPUSD,2026-02-24 00:00:00,COMPRA,1.34954,1.34755,1.35682,19.9,3.66,8.0
EURUSD,2026-02-24 00:00:00,COMPRA,1.17929,1.17744,1.18731,18.5,4.34,7.7
USDJPY,2026-02-24 00:00:00,VENTA,154.66,155.043,153.238,38.3,3.71,3.9
GBPUSD,2026-02-24 12:00:00,COMPRA,1.3486,1.34699,1.35598,16.1,4.58,9.9
EURUSD,2026-02-24 12:00:00,COMPRA,1.17804,1.17679,1.18335,12.5,4.25,11.4
GBPUSD,2026-02-25 00:00:00,VENTA,1.34954,1.35363,1.34412,40.9,1.32,3.9
EURUSD,2026-02-25 00:00:00,COMPRA,1.17738,1.1766,1.18164,7.8,5.46,18.3
USDJPY,2026-02-25 12:00:00,COMPRA,156.795,155.344,157.677,145.1,0.61,1.0
EURUSD,2026-02-25 12:00:00,VENTA,1.17749,1.18078,1.17389,32.9,1.09,4.3
GBPUSD,2026-02-26 12:00:00,VENTA,1.35287,1.35749,1.34345,46.2,2.04,3.5
EURUSD,2026-02-26 12:00:00,VENTA,1.18003,1.18288,1.17352,28.5,2.28,5.0
USDJPY,2026-02-27 00:00:00,VENTA,155.857,156.43,155.06,57.3,1.39,2.6
EURUSD,2026-02-27 00:00:00,COMPRA,1.18031,1.17737,1.18566,29.4,1.82,4.9
EURUSD,2026-02-27 12:00:00,VENTA,1.18002,1.18216,1.17357,21.4,3.01,6.7
USDJPY,2026-02-27 12:00:00,COMPRA,155.908,155.535,156.81,37.3,2.42,4.0
EURUSD,2026-02-28 00:00:00,VENTA,1.18167,1.18268,1.17673,10.1,4.89,14.2
GBPUSD,2026-02-28 00:00:00,COMPRA,1.34859,1.34394,1.35558,46.5,1.5,3.4
USDJPY,2026-03-03 12:00:00,VENTA,157.68,157.969,156.489,28.9,4.12,5.2
EURUSD,2026-03-04 00:00:00,COMPRA,1.16104,1.153,1.17978,80.4,2.33,1.8
GBPUSD,2026-03-04 00:00:00,COMPRA,1.3351,1.32528,1.35949,98.2,2.48,1.6
USDJPY,2026-03-05 12:00:00,COMPRA,157.347,156.447,158.145,90.0,0.89,1.7
GBPUSD,2026-03-05 12:00:00,COMPRA,1.33588,1.33056,1.34228,53.2,1.2,3.0
GBPUSD,2026-03-06 00:00:00,COMPRA,1.33553,1.32973,1.34768,58.0,2.09,2.8
EURUSD,2026-03-06 00:00:00,COMPRA,1.16064,1.15587,1.17051,47.7,2.07,3.0
GBPUSD,2026-03-06 12:00:00,VENTA,1.3318,1.3379,1.32036,61.0,1.88,2.6
EURUSD,2026-03-07 00:00:00,VENTA,1.1617,1.16213,1.15268,4.3,20.97,33.3
GBPUSD,2026-03-07 00:00:00,COMPRA,1.34139,1.3311,1.3506,102.9,0.9,1.6
USDJPY,2026-03-07 00:00:00,VENTA,157.707,158.088,156.792,38.1,2.4,3.9
GBPUSD,2026-03-09 12:00:00,VENTA,1.33522,1.33631,1.32659,10.9,7.91,14.7
EURUSD,2026-03-09 12:00:00,VENTA,1.15532,1.15732,1.1491,20.0,3.11,7.1
USDJPY,2026-03-09 12:00:00,VENTA,158.57,158.898,157.589,32.8,2.99,4.6
GBPUSD,2026-03-10 12:00:00,VENTA,1.34412,1.34831,1.32879,41.9,3.66,3.8
EURUSD,2026-03-10 12:00:00,VENTA,1.16343,1.16635,1.14876,29.2,5.02,4.9
USDJPY,2026-03-10 12:00:00,COMPRA,157.809,157.272,159.336,53.7,2.84,2.8
GBPUSD,2026-03-11 00:00:00,COMPRA,1.34304,1.34099,1.35352,20.5,5.11,7.8
EURUSD,2026-03-11 00:00:00,VENTA,1.16179,1.16672,1.1533,49.3,1.72,2.9
EURUSD,2026-03-12 12:00:00,COMPRA,1.15391,1.15317,1.16572,7.4,15.95,19.3
GBPUSD,2026-03-12 12:00:00,COMPRA,1.33779,1.33609,1.34883,17.0,6.49,9.4
GBPUSD,2026-03-13 00:00:00,COMPRA,1.33631,1.33345,1.3436,28.6,2.55,5.6
USDJPY,2026-03-13 00:00:00,VENTA,159.092,159.429,158.21,33.7,2.62,4.5
USDJPY,2026-03-13 12:00:00,VENTA,159.332,159.683,158.396,35.1,2.67,4.3
USDJPY,2026-03-14 00:00:00,COMPRA,159.721,159.007,160.694,71.4,1.36,2.1
EURUSD,2026-03-16 12:00:00,COMPRA,1.14737,1.14139,1.15334,59.8,1.0,2.4
USDJPY,2026-03-17 00:00:00,COMPRA,159.316,158.849,160.338,46.7,2.19,3.2
USDJPY,2026-03-17 12:00:00,VENTA,159.033,159.494,158.274,46.1,1.65,3.3
GBPUSD,2026-03-17 12:00:00,COMPRA,1.33321,1.32732,1.3425,58.9,1.58,2.7
EURUSD,2026-03-17 12:00:00,COMPRA,1.15239,1.14658,1.16004,58.1,1.32,2.5
USDJPY,2026-03-18 00:00:00,COMPRA,159.065,158.72,159.858,34.5,2.3,4.3
USDJPY,2026-03-18 12:00:00,COMPRA,159.446,158.566,160.073,88.0,0.71,1.7
GBPUSD,2026-03-18 12:00:00,VENTA,1.33143,1.33743,1.3266,60.0,0.8,2.7
EURUSD,2026-03-18 12:00:00,VENTA,1.15073,1.15551,1.14638,47.8,0.91,3.0
GBPUSD,2026-03-19 12:00:00,COMPRA,1.32989,1.32457,1.34483,53.2,2.81,3.0
EURUSD,2026-03-19 12:00:00,COMPRA,1.1487,1.14429,1.16068,44.1,2.72,3.2
EURUSD,2026-03-21 00:00:00,COMPRA,1.15694,1.15245,1.16377,44.9,1.52,3.2
EURUSD,2026-03-23 12:00:00,COMPRA,1.16123,1.14843,1.16569,128.0,0.35,1.1
USDJPY,2026-03-23 12:00:00,VENTA,158.51,159.655,157.745,114.5,0.67,1.3
GBPUSD,2026-03-23 12:00:00,COMPRA,1.3429,1.32566,1.34878,172.4,0.34,0.9
EURUSD,2026-03-24 00:00:00,VENTA,1.15883,1.16397,1.13854,51.4,3.95,2.8
USDJPY,2026-03-24 00:00:00,COMPRA,158.571,158.019,160.692,55.2,3.84,2.7
GBPUSD,2026-03-24 00:00:00,VENTA,1.34008,1.3479,1.31352,78.2,3.4,2.0
EURUSD,2026-03-24 12:00:00,COMPRA,1.15844,1.15756,1.16795,8.8,10.81,16.3
USDJPY,2026-03-24 12:00:00,VENTA,158.817,158.857,157.58,4.0,30.94,37.5
USDJPY,2026-03-25 00:00:00,VENTA,158.645,159.187,157.964,54.2,1.26,2.8
GBPUSD,2026-03-25 00:00:00,COMPRA,1.34285,1.33519,1.3527,76.6,1.29,2.1
EURUSD,2026-03-25 00:00:00,COMPRA,1.16231,1.15569,1.16861,66.2,0.95,2.2
USDJPY,2026-03-25 12:00:00,VENTA,159.023,159.199,157.793,17.6,6.99,8.5
EURUSD,2026-03-27 00:00:00,COMPRA,1.15302,1.15196,1.1605,10.6,7.06,13.5
USDJPY,2026-03-27 00:00:00,VENTA,159.561,159.845,158.94,28.4,2.19,5.3
GBPUSD,2026-03-27 00:00:00,VENTA,1.33336,1.33781,1.32647,44.5,1.55,3.6
EURUSD,2026-03-28 00:00:00,VENTA,1.15059,1.15476,1.14396,41.7,1.59,3.4
USDJPY,2026-03-31 00:00:00,COMPRA,159.844,159.326,161.102,51.8,2.43,2.9
GBPUSD,2026-03-31 12:00:00,COMPRA,1.32346,1.31589,1.33368,75.7,1.35,2.1
USDJPY,2026-03-31 12:00:00,VENTA,159.415,159.97,158.605,55.5,1.46,2.7
GBPUSD,2026-04-02 00:00:00,VENTA,1.33017,1.33461,1.31436,44.4,3.56,3.6
EURUSD,2026-04-02 00:00:00,VENTA,1.15896,1.16271,1.15057,37.5,2.24,3.8
USDJPY,2026-04-04 00:00:00,VENTA,159.555,159.823,159.13,26.8,1.58,5.6
USDJPY,2026-04-06 12:00:00,COMPRA,159.554,159.304,160.133,25.0,2.32,6.0
GBPUSD,2026-04-06 12:00:00,VENTA,1.32365,1.32589,1.31594,22.4,3.44,7.1
EURUSD,2026-04-06 12:00:00,VENTA,1.15455,1.15686,1.14924,23.1,2.3,6.2
GBPUSD,2026-04-07 00:00:00,VENTA,1.32333,1.32681,1.31226,34.8,3.18,4.6
EURUSD,2026-04-07 00:00:00,VENTA,1.15407,1.15713,1.14471,30.6,3.06,4.7
GBPUSD,2026-04-07 12:00:00,VENTA,1.32457,1.32849,1.31702,39.2,1.92,4.1
EURUSD,2026-04-07 12:00:00,VENTA,1.15599,1.15756,1.15041,15.7,3.55,9.1
USDJPY,2026-04-08 00:00:00,VENTA,158.715,160.029,158.022,131.4,0.53,1.1
GBPUSD,2026-04-09 00:00:00,VENTA,1.33921,1.34841,1.32559,92.0,1.48,1.7
EURUSD,2026-04-09 00:00:00,VENTA,1.16589,1.17217,1.15923,62.8,1.06,2.3
USDJPY,2026-04-09 00:00:00,VENTA,158.651,158.795,157.537,14.4,7.74,10.4
GBPUSD,2026-04-09 12:00:00,COMPRA,1.34287,1.33807,1.35834,48.0,3.22,3.3
USDJPY,2026-04-10 00:00:00,VENTA,159.092,159.296,158.358,20.4,3.6,7.4
GBPUSD,2026-04-10 00:00:00,VENTA,1.3429,1.34583,1.33549,29.3,2.53,5.5
USDJPY,2026-04-10 12:00:00,VENTA,159.177,159.373,158.178,19.6,5.1,7.7
USDJPY,2026-04-11 00:00:00,COMPRA,159.245,158.899,159.77,34.6,1.52,4.3
USDJPY,2026-04-14 00:00:00,VENTA,159.218,159.86,158.783,64.2,0.68,2.3
USDJPY,2026-04-15 00:00:00,COMPRA,158.801,158.601,159.743,20.0,4.71,7.5
GBPUSD,2026-04-15 00:00:00,VENTA,1.35743,1.35893,1.34616,15.0,7.51,10.7
EURUSD,2026-04-15 00:00:00,VENTA,1.17982,1.18111,1.17233,12.9,5.8,11.1
GBPUSD,2026-04-16 00:00:00,VENTA,1.35725,1.35787,1.35198,6.2,8.49,25.8
USDJPY,2026-04-16 00:00:00,VENTA,158.815,159.15,158.139,33.5,2.02,4.5
GBPUSD,2026-04-16 12:00:00,VENTA,1.35462,1.35946,1.34958,48.4,1.04,3.3
EURUSD,2026-04-16 12:00:00,VENTA,1.17839,1.18238,1.17375,39.9,1.16,3.6
USDJPY,2026-04-16 12:00:00,COMPRA,158.959,158.262,159.559,69.7,0.86,2.2
EURUSD,2026-04-17 00:00:00,COMPRA,1.17809,1.17668,1.18579,14.1,5.46,10.1
GBPUSD,2026-04-17 12:00:00,COMPRA,1.35291,1.35042,1.35868,24.9,2.32,6.4
USDJPY,2026-04-17 12:00:00,VENTA,159.174,159.528,158.612,35.4,1.59,4.2
GBPUSD,2026-04-18 00:00:00,VENTA,1.35132,1.3599,1.34602,85.8,0.62,1.9
EURUSD,2026-04-18 00:00:00,VENTA,1.17616,1.18491,1.17207,87.5,0.47,1.6
USDJPY,2026-04-20 12:00:00,VENTA,158.836,159.201,156.453,36.5,6.53,4.1
EURUSD,2026-04-20 12:00:00,COMPRA,1.1767,1.17369,1.19005,30.1,4.44,4.8
GBPUSD,2026-04-20 12:00:00,COMPRA,1.35188,1.34782,1.36478,40.6,3.18,3.9
USDJPY,2026-04-21 00:00:00,COMPRA,158.849,158.548,159.563,30.1,2.37,5.0
GBPUSD,2026-04-21 12:00:00,COMPRA,1.35184,1.34822,1.35763,36.2,1.6,4.4
GBPUSD,2026-04-22 00:00:00,VENTA,1.35088,1.35396,1.34346,30.8,2.41,5.2
GBPUSD,2026-04-23 00:00:00,COMPRA,1.34996,1.34917,1.35536,7.9,6.84,20.3
GBPUSD,2026-04-23 12:00:00,COMPRA,1.35053,1.34786,1.3554,26.7,1.83,6.0
USDJPY,2026-04-23 12:00:00,VENTA,159.552,159.779,158.868,22.7,3.01,6.6
EURUSD,2026-04-24 00:00:00,VENTA,1.16834,1.17164,1.16315,33.0,1.57,4.3
GBPUSD,2026-04-24 00:00:00,VENTA,1.34655,1.35179,1.34142,52.4,0.98,3.1
USDJPY,2026-04-24 00:00:00,VENTA,159.753,159.842,159.028,8.9,8.14,16.9
EURUSD,2026-04-24 12:00:00,VENTA,1.17144,1.17185,1.16434,4.1,17.3,34.9
GBPUSD,2026-04-28 00:00:00,VENTA,1.35373,1.35758,1.346,38.5,2.01,4.2
EURUSD,2026-04-28 00:00:00,VENTA,1.17229,1.17548,1.16551,31.9,2.13,4.5
USDJPY,2026-04-28 12:00:00,COMPRA,159.755,158.96,160.292,79.5,0.68,1.9
EURUSD,2026-04-29 00:00:00,COMPRA,1.17176,1.16774,1.1785,40.2,1.68,3.6
EURUSD,2026-04-29 12:00:00,VENTA,1.17007,1.17204,1.16401,19.7,3.08,7.3
GBPUSD,2026-04-29 12:00:00,VENTA,1.35048,1.35277,1.34137,22.9,3.98,7.0
EURUSD,2026-04-30 12:00:00,VENTA,1.17047,1.17194,1.16342,14.7,4.8,9.7
USDJPY,2026-04-30 12:00:00,VENTA,156.374,160.723,155.386,434.9,0.23,0.3
GBPUSD,2026-04-30 12:00:00,COMPRA,1.35168,1.34539,1.3601,62.9,1.34,2.5
USDJPY,2026-05-01 12:00:00,VENTA,156.579,157.326,155.2,74.7,1.85,2.0
GBPUSD,2026-05-02 00:00:00,VENTA,1.35689,1.36576,1.35148,88.7,0.61,1.8
EURUSD,2026-05-02 00:00:00,VENTA,1.17169,1.17851,1.16575,68.2,0.87,2.1
USDJPY,2026-05-04 12:00:00,COMPRA,157.174,155.698,158.348,147.6,0.8,1.0
GBPUSD,2026-05-05 00:00:00,COMPRA,1.35309,1.35121,1.36479,18.8,6.22,8.5
EURUSD,2026-05-05 00:00:00,COMPRA,1.16915,1.16809,1.17667,10.6,7.09,13.5
USDJPY,2026-05-05 00:00:00,VENTA,157.214,157.301,154.888,8.7,26.74,17.2
EURUSD,2026-05-05 12:00:00,COMPRA,1.16889,1.16764,1.17444,12.5,4.44,11.4
USDJPY,2026-05-06 00:00:00,VENTA,157.675,157.93,156.493,25.5,4.64,5.9
GBPUSD,2026-05-07 12:00:00,VENTA,1.36175,1.363,1.35496,12.5,5.44,12.8
EURUSD,2026-05-07 12:00:00,VENTA,1.17699,1.17783,1.17274,8.4,5.05,17.0
USDJPY,2026-05-07 12:00:00,VENTA,156.403,156.525,155.688,12.2,5.86,12.3
GBPUSD,2026-05-08 00:00:00,VENTA,1.35553,1.36322,1.34946,76.9,0.79,2.1
USDJPY,2026-05-08 12:00:00,VENTA,156.749,156.99,155.57,24.1,4.89,6.2
GBPUSD,2026-05-11 12:00:00,COMPRA,1.36067,1.35789,1.36601,27.8,1.92,5.8
EURUSD,2026-05-11 12:00:00,COMPRA,1.17683,1.17485,1.1816,19.8,2.41,7.2
GBPUSD,2026-05-12 00:00:00,VENTA,1.36037,1.36531,1.35504,49.4,1.08,3.2
EURUSD,2026-05-12 00:00:00,VENTA,1.17784,1.17878,1.1728,9.4,5.36,15.2
USDJPY,2026-05-12 12:00:00,COMPRA,157.572,156.726,158.013,84.6,0.52,1.8
EURUSD,2026-05-13 00:00:00,COMPRA,1.17349,1.17216,1.18001,13.3,4.91,10.8
USDJPY,2026-05-13 00:00:00,VENTA,157.67,157.763,156.138,9.3,16.47,16.1
GBPUSD,2026-05-13 00:00:00,COMPRA,1.35348,1.35001,1.36884,34.7,4.43,4.6
GBPUSD,2026-05-13 12:00:00,VENTA,1.35034,1.35511,1.34375,47.7,1.38,3.4
EURUSD,2026-05-13 12:00:00,VENTA,1.1712,1.17417,1.16828,29.7,0.98,4.8
GBPUSD,2026-05-14 00:00:00,COMPRA,1.35263,1.34841,1.36115,42.2,2.02,3.8
USDJPY,2026-05-14 00:00:00,VENTA,157.856,157.923,157.356,6.7,7.46,22.4
EURUSD,2026-05-14 12:00:00,VENTA,1.16996,1.17214,1.16674,21.8,1.48,6.6
GBPUSD,2026-05-14 12:00:00,VENTA,1.34999,1.35325,1.34288,32.6,2.18,4.9
USDJPY,2026-05-14 12:00:00,COMPRA,157.971,157.514,158.38,45.7,0.9,3.3
USDJPY,2026-05-15 00:00:00,COMPRA,158.38,157.307,159.097,107.3,0.67,1.4
EURUSD,2026-05-16 00:00:00,COMPRA,1.16234,1.16168,1.1693,6.6,10.55,21.7
EURUSD,2026-05-18 12:00:00,COMPRA,1.16416,1.16082,1.16731,33.4,0.94,4.3
GBPUSD,2026-05-18 12:00:00,COMPRA,1.3376,1.3302,1.34482,74.0,0.98,2.2
USDJPY,2026-05-18 12:00:00,VENTA,158.833,159.072,158.335,23.9,2.08,6.3
USDJPY,2026-05-19 00:00:00,VENTA,158.868,159.081,158.282,21.3,2.75,7.0
USDJPY,2026-05-20 00:00:00,VENTA,159.043,159.251,158.563,20.8,2.31,7.2
GBPUSD,2026-05-20 00:00:00,COMPRA,1.33955,1.3378,1.34662,17.5,4.04,9.1
EURUSD,2026-05-20 12:00:00,COMPRA,1.16007,1.15833,1.16486,17.4,2.75,8.2
GBPUSD,2026-05-20 12:00:00,COMPRA,1.33995,1.33748,1.34614,24.7,2.51,6.5
USDJPY,2026-05-21 00:00:00,VENTA,158.886,159.166,158.46,28.0,1.52,5.4
EURUSD,2026-05-21 00:00:00,COMPRA,1.16245,1.15826,1.16653,41.9,0.97,3.4
USDJPY,2026-05-22 00:00:00,VENTA,159.025,159.35,158.486,32.5,1.66,4.6
EURUSD,2026-05-22 00:00:00,COMPRA,1.16177,1.15763,1.16799,41.4,1.5,3.5
GBPUSD,2026-05-22 00:00:00,COMPRA,1.34316,1.33915,1.3491,40.1,1.48,4.0
USDJPY,2026-05-23 00:00:00,COMPRA,159.155,158.989,159.372,16.6,1.31,9.0
